Variable,IRR,IRR_CI_Lower,IRR_CI_Upper,P_Value
Intercept,0.00017026185681799755,0.00012603951078775594,0.0002300000984288844,0.0
pm10_mean,0.9984510598338593,0.998255995851485,0.9986461619326662,1.594465081743731e-54
o3_lag1,0.9993759229323189,0.9991952174699053,0.9995566610754978,1.3227464481048799e-11
temp_lag1,0.9905471248339452,0.989676118701628,0.9914188975318774,2.1864214076946587e-99
urban_pct,0.998154958002829,0.9980174080712968,0.9982925268919302,4.9298942322343275e-152
forest_pct,0.9968959753841425,0.9967538128952566,0.9970381581490214,0.0
elderly_pct,1.293791638881657,1.0333017762699515,1.6199496055088332,0.024732226423260742
child_pct,0.43095983786215913,0.21413837036444172,0.8673194884881729,0.018330335372561853
female_pct,31.34278946271528,17.680934414463113,55.561003071224036,4.190498783731862e-32
